iteration,hour,time_str,total_occupied,utilization_percent,mc_occupied,car_occupied,truck_occupied,mc_utilization,car_utilization,truck_utilization,is_full
0,6.0,06:00,0,0.0,0,0,0,0.0,0.0,0.0,False
0,6.166666666666667,06:10,3,1.2987012987012987,3,0,0,2.142857142857143,0.0,0.0,False
0,6.333333333333333,06:19,3,1.2987012987012987,3,0,0,2.142857142857143,0.0,0.0,False
0,6.5,06:30,6,2.5974025974025974,6,0,0,4.285714285714286,0.0,0.0,False
0,6.666666666666667,06:40,8,3.463203463203463,7,1,0,5.0,1.2345679012345678,0.0,False
0,6.833333333333333,06:49,9,3.896103896103896,8,1,0,5.714285714285714,1.2345679012345678,0.0,False
0,7.0,07:00,13,5.627705627705628,12,1,0,8.571428571428571,1.2345679012345678,0.0,False
0,7.166666666666667,07:10,32,13.852813852813853,28,4,0,20.0,4.938271604938271,0.0,False
0,7.333333333333333,07:19,54,23.376623376623375,45,5,4,32.142857142857146,6.172839506172839,40.0,False
0,7.5,07:30,97,41.99134199134199,79,13,5,56.42857142857143,16.049382716049383,50.0,False
0,7.666666666666667,07:40,121,52.38095238095239,98,18,5,70.0,22.22222222222222,50.0,False
0,7.833333333333333,07:49,158,68.3982683982684,119,31,8,85.0,38.2716049382716,80.0,False
0,8.0,08:00,183,79.22077922077922,140,35,8,100.0,43.20987654320987,80.0,True
0,8.166666666666666,08:09,188,81.38528138528139,140,39,9,100.0,48.148148148148145,90.0,True
0,8.333333333333334,08:20,192,83.11688311688312,140,43,9,100.0,53.086419753086425,90.0,True
0,8.5,08:30,196,84.84848484848484,140,47,9,100.0,58.0246913580247,90.0,True
0,8.666666666666666,08:39,197,85.28138528138528,140,48,9,100.0,59.25925925925925,90.0,True
0,8.833333333333334,08:50,202,87.44588744588745,140,52,10,100.0,64.19753086419753,100.0,True
0,9.0,09:00,210,90.9090909090909,140,60,10,100.0,74.07407407407408,100.0,True
0,9.166666666666666,09:09,211,91.34199134199135,140,61,10,100.0,75.30864197530865,100.0,True
0,9.333333333333334,09:20,214,92.64069264069265,140,64,10,100.0,79.01234567901234,100.0,True
0,9.5,09:30,215,93.07359307359307,140,65,10,100.0,80.24691358024691,100.0,True
0,9.666666666666666,09:39,217,93.93939393939394,140,67,10,100.0,82.71604938271605,100.0,True
