iteration,hour,time_str,total_occupied,utilization_percent,mc_occupied,car_occupied,truck_occupied,mc_utilization,car_utilization,truck_utilization,is_full
0,6.0,06:00,0,0.0,0,0,0,0.0,0.0,0.0,False
0,6.166666666666667,06:10,3,1.2987012987012987,2,1,0,1.4285714285714286,1.2345679012345678,0.0,False
0,6.333333333333333,06:19,4,1.7316017316017316,2,2,0,1.4285714285714286,2.4691358024691357,0.0,False
0,6.5,06:30,7,3.0303030303030303,4,3,0,2.857142857142857,3.7037037037037033,0.0,False
0,6.666666666666667,06:40,13,5.627705627705628,10,3,0,7.142857142857142,3.7037037037037033,0.0,False
0,6.833333333333333,06:49,17,7.35930735930736,12,5,0,8.571428571428571,6.172839506172839,0.0,False
0,7.0,07:00,21,9.090909090909092,15,6,0,10.714285714285714,7.4074074074074066,0.0,False
0,7.166666666666667,07:10,49,21.21212121212121,34,13,2,24.285714285714285,16.049382716049383,20.0,False
0,7.333333333333333,07:19,72,31.16883116883117,53,16,3,37.857142857142854,19.753086419753085,30.0,False
0,7.5,07:30,105,45.45454545454545,79,22,4,56.42857142857143,27.160493827160494,40.0,False
0,7.666666666666667,07:40,130,56.27705627705628,97,28,5,69.28571428571428,34.5679012345679,50.0,False
0,7.833333333333333,07:49,176,76.19047619047619,133,35,8,95.0,43.20987654320987,80.0,False
0,8.0,08:00,190,82.25108225108225,140,40,10,100.0,49.382716049382715,100.0,True
0,8.166666666666666,08:09,192,83.11688311688312,140,42,10,100.0,51.85185185185185,100.0,True
0,8.333333333333334,08:20,197,85.28138528138528,140,47,10,100.0,58.0246913580247,100.0,True
0,8.5,08:30,208,90.04329004329004,140,58,10,100.0,71.60493827160494,100.0,True
0,8.666666666666666,08:39,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
0,8.833333333333334,08:50,217,93.93939393939394,140,67,10,100.0,82.71604938271605,100.0,True
0,9.0,09:00,222,96.1038961038961,140,72,10,100.0,88.88888888888889,100.0,True
0,9.166666666666666,09:09,224,96.96969696969697,140,74,10,100.0,91.35802469135803,100.0,True
0,9.333333333333334,09:20,226,97.83549783549783,140,76,10,100.0,93.82716049382715,100.0,True
0,9.5,09:30,227,98.26839826839827,140,77,10,100.0,95.06172839506173,100.0,True
0,9.666666666666666,09:39,228,98.7012987012987,140,78,10,100.0,96.29629629629629,100.0,True
0,9.833333333333334,09:50,229,99.13419913419914,140,79,10,100.0,97.53086419753086,100.0,True
0,10.0,10:00,229,99.13419913419914,140,79,10,100.0,97.53086419753086,100.0,True
0,10.166666666666666,10:09,229,99.13419913419914,140,79,10,100.0,97.53086419753086,100.0,True
0,10.333333333333334,10:20,229,99.13419913419914,140,79,10,100.0,97.53086419753086,100.0,True
