time_str,total_occupied_mean,total_occupied_std,total_occupied_min,total_occupied_max,utilization_percent_mean,utilization_percent_std,mc_occupied_mean,mc_occupied_std,car_occupied_mean,car_occupied_std,truck_occupied_mean,truck_occupied_std,is_full_mean
06:00,0.17,0.42770234150550646,0,2,0.0735930735930736,0.18515252879026256,0.12,0.3561863092100634,0.05,0.2611164839335468,0.0,0.0,0.0
06:10,1.69,1.3904072508557785,0,7,0.7316017316017316,0.6019079008033673,1.27,1.0904081341359753,0.37,0.6614187383758849,0.05,0.2611164839335468,0.0
06:19,3.37,1.8676133962840915,0,10,1.4588744588744589,0.8084906477420306,2.54,1.604413105824499,0.72,0.8655003807572297,0.11,0.3450955072018601,0.0
06:30,5.07,2.5196400255960887,0,12,2.1948051948051948,1.0907532578338044,3.88,2.1238425249314203,1.0,1.1547005383792515,0.19,0.41911402464790604,0.0
06:40,6.64,2.8051899951858714,1,14,2.8744588744588744,1.2143679632839268,5.03,2.337463876456142,1.32,1.420485050177501,0.29,0.49838121792844314,0.0
06:49,8.41,3.0254643186516588,1,16,3.6406926406926408,1.309724813269116,6.42,2.4666666666666663,1.63,1.5869098362171774,0.36,0.541602560309064,0.0
07:00,12.62,3.572566629642102,2,22,5.463203463203463,1.5465656405377064,9.64,2.935398721905707,2.44,1.8385325725159234,0.54,0.6878454136877801,0.0
07:10,38.57,7.649196168238985,23,58,16.6969696969697,3.3113403325709903,28.95,6.310765213170077,7.99,3.3559686012424566,1.63,1.338286255257111,0.0
07:19,65.02,10.819903097084692,41,95,28.147186147186147,4.683940734668701,49.04,9.152931859036293,13.32,3.9667303279841817,2.66,1.5519293954574254,0.0
07:30,91.63,13.014098803865279,65,122,39.666666666666664,5.633809006002283,69.59,11.049105270234655,18.4,4.780008875356284,3.64,1.8286165218105142,0.01
07:40,117.68,15.35497813529389,78,148,50.94372294372294,6.6471766819454094,89.55,13.260692274385965,23.57,5.249829242052267,4.56,1.9762222915083576,0.03
07:49,143.52,17.120181250810578,103,180,62.129870129870135,7.411333874809775,109.66,14.46292368838893,28.33,5.57783311172199,5.53,2.235864689351954,0.11
08:00,166.22,14.644321821653664,112,195,71.95670995670996,6.339533256127127,126.34,11.875805129537431,33.38,5.693838597975707,6.5,2.176550880952186,0.35
08:09,181.32,11.21315965707032,143,206,78.49350649350649,4.8541816697274145,135.96,7.405867179937046,38.2,6.497862896539309,7.16,2.1729280157465323,0.7
