time_str,total_occupied_mean,total_occupied_std,total_occupied_min,total_occupied_max,utilization_percent_mean,utilization_percent_std,mc_occupied_mean,mc_occupied_std,car_occupied_mean,car_occupied_std,truck_occupied_mean,truck_occupied_std,is_full_mean
06:00,0.229,0.47622031223561395,0,3,0.09913419913419913,0.20615597932277663,0.169,0.4154655360094404,0.048,0.21850341815116694,0.012,0.1089397442069141,0.0
06:10,2.774,1.646096483695179,0,10,1.2008658008658009,0.7125958803875231,2.127,1.4473997257032927,0.531,0.7290888632879879,0.116,0.34447447316552027,0.0
06:19,5.319,2.264589889442979,0,13,2.3025974025974025,0.9803419434818093,4.11,2.016424054103196,1.011,1.0459316292057395,0.198,0.45277036232620266,0.0
06:30,7.735,2.740855210930941,1,17,3.3484848484848486,1.1865174073294118,5.962,2.421243155574924,1.488,1.2350633106773852,0.285,0.5273073610836977,0.0
06:40,10.214,3.0918867643825143,3,21,4.421645021645022,1.338479118780309,7.837,2.7404271457093956,1.985,1.3873354676139795,0.392,0.60555982586587,0.0
06:49,12.742,3.492511078526974,4,26,5.516017316017316,1.5119095578038841,9.747,3.0614315872420454,2.497,1.5428452195121096,0.498,0.6829805725366297,0.0
07:00,18.122,4.575374307097731,6,32,7.845021645021645,1.9806815182241269,13.867,3.9508125645137766,3.573,1.9037582029489193,0.682,0.8059314645337569,0.0
07:10,50.246,8.952297337981333,21,78,21.751515151515154,3.8754533930655133,38.284,7.28810403743391,10.006,3.383106473259362,1.956,1.4262181102826106,0.0
07:19,82.896,11.743214512521135,48,118,35.885714285714286,5.083642646113048,63.015,9.67152073426477,16.603,4.410537817981368,3.278,1.8209975376238237,0.002
07:30,115.647,14.292118655246863,69,158,50.06363636363636,6.187064352920731,88.05,11.860276816591014,23.04,5.2606153702845475,4.557,2.1958079543923175,0.021
07:40,147.97,16.227767574144032,93,191,64.05627705627705,7.025007607854557,112.64,13.365067340833898,29.504,5.877629669393139,5.826,2.3317721074670144,0.096
07:49,175.663,13.127748046362276,121,209,76.04458874458875,5.683007812278048,132.766,9.439828089237341,35.993,6.555450016964889,6.904,2.3143336276648045,0.56
